hypothesis,rule,estimator,specification,variable,coefficient,std_error,t_statistic,p_value,ci_lower_95,ci_upper_95,n_obs,r_squared_within,entity_fe,n_entity_fe,time_fe,se_type,significance,anchor_beta_script27,anchor_se_script27,delta_beta,note
H1,A,linearmodels.PanelOLS,lights_change_qt ~ flood_ruleA + EntityFE + TimeFE,flood_exposure_ruleA_qt,-0.044468,0.007784,-5.7124,0.0,-0.059726,-0.02921,22716,0.0026,district_state_id,631,quarter,"clustered_entity (district_state_id, 631 clusters)",***,-0.0445,0.0078,3.2e-05,Final paper table. linearmodels PanelOLS. Primary specification. State fallback in Rule A attenuates beta toward zero. Conservative lower bound.
H1,B,linearmodels.PanelOLS,lights_change_qt ~ flood_ruleB + EntityFE + TimeFE,flood_exposure_ruleB_qt,-0.058446,0.019768,-2.9566,0.003114,-0.097192,-0.0197,22716,0.0006,district_state_id,631,quarter,"clustered_entity (district_state_id, 631 clusters)",**,-0.0584,0.0198,4.6e-05,Final paper table. linearmodels PanelOLS. Robustness specification. District-only match. No state attenuation. Lower power (0.90% treatment rate).
