variable,mean,std,min,p25,p50,p75,max,n
deposits,16459.607487513116,47701.66382451341,28.9979,2880.6686,6139.9919,13471.774175,1237744.3404,22880
log_deposits,8.70541844943048,1.3738268911058058,3.401127379212041,7.966124780108462,8.722741549990749,9.508426200111632,14.02880200864377,22880
mean_radiance,0.6975668222743666,1.6975134988159357,0.0003009086952563,0.2663214169442653,0.42618100345134735,0.6837380230426788,35.01987965901693,23088
log_lights_qt,0.4279169279968144,0.33415501676544074,0.0003008634313148,0.23611617533851892,0.35500024480809733,0.5210163354439952,3.5840709987932264,23088
lights_change_qt,0.005416618324711851,0.11144177893895199,-1.1721932501466243,-0.049601421897637575,0.0001727840374776,0.0540346281554428,1.124083477102192,22464
deposit_change_qt,0.023313515419581404,0.07446044116445888,-1.9322271600340724,0.0031537546622719,0.0209552670075385,0.040406316321630095,2.025117999667458,22251
