hypothesis,rule,outcome,treatment,method,cluster_var,n_clusters,n_obs,B_iterations,seed,beta,se_conv_script36,t_obs,se_wildboot,p_wildboot,sig_wildboot,beta_script27,se_script27,p_script27,beta_script36,se_script36,p_script36,verdict
H1,A,lights_change_qt,flood_exposure_ruleA_qt,Wild Cluster Bootstrap (Rademacher),state_gadm,34,22716,999,42,-0.044468,0.027413,-1.6222,0.030026,0.1582,,-0.0445,0.0078,< 0.001,-0.044468,0.0274,0.105,NOT ROBUST. H1 Rule A does not survive wild cluster bootstrap at 34 state clusters (p = 0.1582). Coefficient intact: beta = -0.044468. Precision limitation only. Writing constraint 13 applies: explicit disclosure required. Do not claim H1 is robust to the most conservative SE specification.
H1,B,lights_change_qt,flood_exposure_ruleB_qt,Wild Cluster Bootstrap (Rademacher),state_gadm,34,22716,999,42,-0.058446,0.046784,-1.2493,0.045341,0.2673,,-0.0584,0.0198,< 0.003,-0.058446,0.0468,0.212,NOT ROBUST. H1 Rule B does not survive wild cluster bootstrap at 34 state clusters (p = 0.2673). Coefficient intact: beta = -0.058446. Precision limitation only. Writing constraint 13 applies: explicit disclosure required. Do not claim H1 is robust to the most conservative SE specification.
