hypothesis,rule,lag,outcome,flood_var,coefficient,std_error,t_statistic,p_value,ci_lower_95,ci_upper_95,significance,n_obs,district_fe,quarter_fe_count,se_clusters,anchor_beta,anchor_se,anchor_t
H3,A,t-2,deposit_change_qt,flood_ruleA_L2,-0.007012,0.003302,-2.123,0.033724,-0.013484,-0.00054,**,21837,NONE (H3 spec),35,state_gadm (34),-0.007005,0.001645,-4.259
H3,B,t-2,deposit_change_qt,flood_ruleB_L2,-0.003796,0.006917,-0.549,0.583206,-0.017353,0.009762,,21837,NONE (H3 spec),35,state_gadm (34),,,
