hypothesis,rule,lag,estimator,specification,variable,coefficient,std_error,t_statistic,p_value,ci_lower_95,ci_upper_95,n_obs,r_squared_within_time,time_fe,n_time_fe,entity_fe,se_type,significance,anchor_beta_script29,anchor_se_script29,delta_beta,note
H3,A,t0,linearmodels.PanelOLS,deposit_change_qt ~ flood_L0 + flood_L1 + flood_L2 + TimeFE,flood_exposure_ruleA_qt,0.000609,0.001462,0.4167,0.676885,-0.002256,0.003474,21837,0.0008,quarter,35,NONE (pre-committed H3 specification),"clustered_entity (district_state_id, 631 clusters)",,0.000609,0.001463,0.0,"Primary. Quarter FE only (pre-committed). H3 CONFIRMED at t-2 (beta=-0.007005, p<0.001). Two-phase cycle: t-1 positive (anticipatory saving), t-2 negative (withdrawal). Writing constraint 11 applies -- disclose two-phase cycle in full."
H3,A,t-1,linearmodels.PanelOLS,deposit_change_qt ~ flood_L0 + flood_L1 + flood_L2 + TimeFE,flood_ruleA_L1,0.001505,0.001114,1.3517,0.176482,-0.000677,0.003688,21837,0.0008,quarter,35,NONE (pre-committed H3 specification),"clustered_entity (district_state_id, 631 clusters)",,0.001505,0.001114,0.0,"Primary. Quarter FE only (pre-committed). H3 CONFIRMED at t-2 (beta=-0.007005, p<0.001). Two-phase cycle: t-1 positive (anticipatory saving), t-2 negative (withdrawal). Writing constraint 11 applies -- disclose two-phase cycle in full."
H3,A,t-2,linearmodels.PanelOLS,deposit_change_qt ~ flood_L0 + flood_L1 + flood_L2 + TimeFE,flood_ruleA_L2,-0.007005,0.001644,-4.2609,2e-05,-0.010227,-0.003783,21837,0.0008,quarter,35,NONE (pre-committed H3 specification),"clustered_entity (district_state_id, 631 clusters)",***,-0.007005,0.001645,0.0,"Primary. Quarter FE only (pre-committed). H3 CONFIRMED at t-2 (beta=-0.007005, p<0.001). Two-phase cycle: t-1 positive (anticipatory saving), t-2 negative (withdrawal). Writing constraint 11 applies -- disclose two-phase cycle in full."
H3,B,t0,linearmodels.PanelOLS,deposit_change_qt ~ flood_L0 + flood_L1 + flood_L2 + TimeFE,flood_exposure_ruleB_qt,-0.002555,0.003484,-0.7334,0.463335,-0.009383,0.004273,21837,0.0,quarter,35,NONE (pre-committed H3 specification),"clustered_entity (district_state_id, 631 clusters)",,,,,Robustness. District-only match. 0.90% treatment rate. All lags null -- expected.
H3,B,t-1,linearmodels.PanelOLS,deposit_change_qt ~ flood_L0 + flood_L1 + flood_L2 + TimeFE,flood_ruleB_L1,-0.000778,0.001953,-0.3985,0.690284,-0.004607,0.00305,21837,0.0,quarter,35,NONE (pre-committed H3 specification),"clustered_entity (district_state_id, 631 clusters)",,,,,Robustness. District-only match. 0.90% treatment rate. All lags null -- expected.
H3,B,t-2,linearmodels.PanelOLS,deposit_change_qt ~ flood_L0 + flood_L1 + flood_L2 + TimeFE,flood_ruleB_L2,-0.003814,0.006302,-0.6052,0.545035,-0.016166,0.008538,21837,0.0,quarter,35,NONE (pre-committed H3 specification),"clustered_entity (district_state_id, 631 clusters)",,,,,Robustness. District-only match. 0.90% treatment rate. All lags null -- expected.
