district_rbi,district_gadm,match_score_rbi_gadm,matched_rbi_gadm,state_gadm,is_ambiguous_match
DHAR,Dhar,100.0,True,Madhya Pradesh,False
DHARASHIV,,66.66666666666667,False,,False
DHARMAPURI,Dharmapuri,100.0,True,Tamil Nadu,False
DHARWAD,Dharwad,100.0,True,Karnataka,False
DHEMAJI,Dhemaji,100.0,True,Assam,False
DHENKANAL,Dhenkanal,100.0,True,Odisha,False
DHOLPUR,Dhaulpur,80.0,True,Rajasthan,False
DHUBRI,Dhubri,100.0,True,Assam,False
DHULE,Dhule,100.0,True,Maharashtra,False
DIBRUGARH,Dibrugarh,100.0,True,Assam,False
DIDWANA-KUCHAMAN,,53.84615384615385,False,,False
DIMA HASAO,Dima Hasao,100.0,True,Assam,False
DIMAPUR,Dimapur,100.0,True,Nagaland,False
DINDIGUL,Dindigul,100.0,True,Tamil Nadu,False
DINDORI,Dindori,100.0,True,Madhya Pradesh,False
DIU,Diu,100.0,True,Daman and Diu,False
DODA,Doda,100.0,True,Jammu and Kashmir,False
DOHAD,,66.66666666666667,False,,False
DR. B.R. AMBEDKAR KONASEEMA,,58.53658536585367,False,,False
DUDU,,66.66666666666667,False,,False
DUMKA,Dumka,100.0,True,Jharkhand,False
DUNGARPUR,Dungarpur,100.0,True,Rajasthan,False
DURG,Durg,100.0,True,Chhattisgarh,False
EAST DELHI,,60.86956521739131,False,,False
EAST GARO HILLS,East Garo Hills,100.0,True,Meghalaya,False
EAST GODAVARI,East Godavari,100.0,True,Andhra Pradesh,False
EAST JAINTIA HILLS,Jaintia Hills,83.87096774193549,True,Meghalaya,False
EAST KAMENG,East Kameng,100.0,True,Arunachal Pradesh,False
EAST KHASI HILLS,East Khasi Hills,100.0,True,Meghalaya,False
EAST NIMAR,East Nimar,100.0,True,Madhya Pradesh,False
EAST SIANG,East Siang,100.0,True,Arunachal Pradesh,False
EASTERN WEST KHASI HILLS,South West Khasi Hills,82.6086956521739,True,Meghalaya,False
ELURU,,60.0,False,,False
ERNAKULAM,Ernakulam,100.0,True,Kerala,False
ERODE,Erode,100.0,True,Tamil Nadu,False
ETAH,Etah,100.0,True,Uttar Pradesh,False
ETAWAH,Etawah,100.0,True,Uttar Pradesh,False
FARIDABAD,Faridabad,100.0,True,Haryana,False
FARIDKOT,Faridkot,100.0,True,Punjab,False
FARRUKHABAD,Farrukhabad,100.0,True,Uttar Pradesh,False
FATEHABAD,Fatehabad,100.0,True,Haryana,False
FATEHGARH SAHIB,Fatehgarh Sahib,100.0,True,Punjab,False
FATEHPUR,Fatehpur,100.0,True,Uttar Pradesh,False
FAZILKA,Fazilka,100.0,True,Punjab,False
FEROZPUR,Firozpur,87.5,True,Punjab,False
FIROZABAD,Firozabad,100.0,True,Uttar Pradesh,False
GADAG,Gadag,100.0,True,Karnataka,False
GADCHIROLI,Garhchiroli,85.71428571428572,True,Maharashtra,False
GAJAPATI,Gajapati,100.0,True,Odisha,False
GANDERBAL,Ganderbal,100.0,True,Jammu and Kashmir,False
GANDHINAGAR,Gandhinagar,100.0,True,Gujarat,False
GANGANAGAR,Ganganagar,100.0,True,Rajasthan,False
GANGAPURCITY,,61.53846153846154,False,,False
GANGTOK,,54.54545454545454,False,,False
GANJAM,Ganjam,100.0,True,Odisha,False
GARHWA,Garhwa,100.0,True,Jharkhand,False
GARHWAL,Garhwal,100.0,True,Uttarakhand,False
GARIYABAND,Gariaband,94.73684210526316,True,Chhattisgarh,False
GAURELA-PENDRA-MARWAHI,,52.94117647058824,False,,False
GAUTAM BUDDHA NAGAR,Gautam Buddha Nagar,100.0,True,Uttar Pradesh,False
GAYA,Gaya,100.0,True,Bihar,False
GHAZIABAD,Ghaziabad,100.0,True,Uttar Pradesh,False
GHAZIPUR,Ghazipur,100.0,True,Uttar Pradesh,False
GIR SOMNATH,Gir Somnath,100.0,True,Gujarat,False
GIRIDIH,Giridih,100.0,True,Jharkhand,False
GOALPARA,Goalpara,100.0,True,Assam,False
GODDA,Godda,100.0,True,Jharkhand,False
GOLAGHAT,Golaghat,100.0,True,Assam,False
GOMATI,Gomati,100.0,True,Tripura,False
GONDA,Gonda,100.0,True,Uttar Pradesh,False
GONDIA,Gondiya,92.3076923076923,True,Maharashtra,False
GOPALGANJ,Gopalganj,100.0,True,Bihar,False
GORAKHPUR,Gorakhpur,100.0,True,Uttar Pradesh,False
GUMLA,Gumla,100.0,True,Jharkhand,False
GUNA,Guna,100.0,True,Madhya Pradesh,False
GUNTUR,Guntur,100.0,True,Andhra Pradesh,False
GURDASPUR,Gurdaspur,100.0,True,Punjab,False
GURUGRAM,,66.66666666666667,False,,False
GWALIOR,Gwalior,100.0,True,Madhya Pradesh,False
GYALSHING,,60.0,False,,False
HAILAKANDI,Hailakandi,100.0,True,Assam,False
HAMIRPUR,Hamirpur,100.0,True,Himachal Pradesh,True
HAMIRPUR,Hamirpur,100.0,True,Uttar Pradesh,True
HANUMAKONDA,,72.72727272727273,False,,False
HANUMANGARH,Hanumangarh,100.0,True,Rajasthan,False
HAORA,Haora,100.0,True,West Bengal,False
HAPUR,Hapur,100.0,True,Uttar Pradesh,False
HARDA,Harda,100.0,True,Madhya Pradesh,False
HARDOI,Hardoi,100.0,True,Uttar Pradesh,False
HARIDWAR,Hardwar,93.33333333333333,True,Uttarakhand,False
HASSAN,Hassan,100.0,True,Karnataka,False
HATHRAS,Hathras,100.0,True,Uttar Pradesh,False
HAVERI,Haveri,100.0,True,Karnataka,False
HAZARIBAG,Hazaribagh,94.73684210526316,True,Jharkhand,False
HINGOLI,Hingoli,100.0,True,Maharashtra,False
HISAR,Hisar,100.0,True,Haryana,False
HOJAI,,72.72727272727273,False,,False
HOSHIARPUR,Hoshiarpur,100.0,True,Punjab,False
HUGLI,Hugli,100.0,True,West Bengal,False
HYDERABAD,Hyderabad,100.0,True,Telangana,False
IDUKKI,Idukki,100.0,True,Kerala,False
IMPHAL EAST,Imphal East,100.0,True,Manipur,False
IMPHAL WEST,Imphal West,100.0,True,Manipur,False
INDORE,Indore,100.0,True,Madhya Pradesh,False
JABALPUR,Jabalpur,100.0,True,Madhya Pradesh,False
JAGATSINGHPUR,Jagatsinghapur,96.2962962962963,True,Odisha,False
JAGITIAL,,66.66666666666667,False,,False
JAIPUR,Jaipur,100.0,True,Rajasthan,False
JAIPUR RURAL,,66.66666666666667,False,,False
JAISALMER,Jaisalmer,100.0,True,Rajasthan,False
JAJPUR,Jajapur,92.3076923076923,True,Odisha,False
JALANDHAR,Jalandhar,100.0,True,Punjab,False
JALAUN,Jalaun,100.0,True,Uttar Pradesh,False
JALGAON,Jalgaon,100.0,True,Maharashtra,False
JALNA,Jalna,100.0,True,Maharashtra,False
JALOR,Jalor,100.0,True,Rajasthan,False
JALPAIGURI,Jalpaiguri,100.0,True,West Bengal,False
JAMMU,Jammu,100.0,True,Jammu and Kashmir,False
JAMNAGAR,Jamnagar,100.0,True,Gujarat,False
JAMTARA,Jamtara,100.0,True,Jharkhand,False
JAMUI,Jamui,100.0,True,Bihar,False
JANGAON,Jalgaon,85.71428571428572,True,Maharashtra,False
JANJGIR-CHAMPA,Janjgir-Champa,100.0,True,Chhattisgarh,False
JASHPUR,Jashpur,100.0,True,Chhattisgarh,False
JAUNPUR,Jaunpur,100.0,True,Uttar Pradesh,False
JAYASHANKAR (BHUPALPALLI),,46.808510638297875,False,,False
JEHANABAD,Jehanabad,100.0,True,Bihar,False
JHABUA,Jhabua,100.0,True,Madhya Pradesh,False
JHAJJAR,Jhajjar,100.0,True,Haryana,False
JHALAWAR,Jhalawar,100.0,True,Rajasthan,False
JHANSI,Jhansi,100.0,True,Uttar Pradesh,False
JHARGRAM,,66.66666666666667,False,,False
JHARSUGUDA,Jharsuguda,100.0,True,Odisha,False
JHUNJHUNU,Jhunjhunun,94.73684210526316,True,Rajasthan,False
JIND,Jind,100.0,True,Haryana,False
JIRIBAM,,57.14285714285714,False,,False
JODHPUR,Jodhpur,100.0,True,Rajasthan,False
JODHPUR RURAL,,70.0,False,,False
JOGULAMBA (GADWAL),,53.84615384615385,False,,False
JORHAT,Jorhat,100.0,True,Assam,False
JUNAGADH,Junagadh,100.0,True,Gujarat,False
KABEERDHAM,Kabeerdham,100.0,True,Chhattisgarh,False
KACHCHH,Kachchh,100.0,True,Gujarat,False
KAIMUR,Kaimur,100.0,True,Bihar,False
KAITHAL,Kaithal,100.0,True,Haryana,False
KAKCHING,,66.66666666666667,False,,False
KAKINADA,,66.66666666666667,False,,False
KALABURAGI,,63.1578947368421,False,,False
KALAHANDI,Kalahandi,100.0,True,Odisha,False
KALIMPONG,,63.1578947368421,False,,False
KALLAKURICHI,,57.14285714285714,False,,False
KAMAREDDY,,70.0,False,,False
KAMRUP,Kamrup,100.0,True,Assam,False
KAMRUP METROPOLITAN,Kamrup Metropolitan,100.0,True,Assam,False
KANAUJ,Kannauj,92.3076923076923,True,Uttar Pradesh,False
KANCHEEPURAM,Kancheepuram,100.0,True,Tamil Nadu,False
KANDHAMAL,Kandhamal,100.0,True,Odisha,False
KANGPOKPI,,57.14285714285714,False,,False
KANGRA,Kangra,100.0,True,Himachal Pradesh,False
KANNUR,Kannur,100.0,True,Kerala,False
KANPUR DEHAT,Kanpur Dehat,100.0,True,Uttar Pradesh,False
KANPUR NAGAR,Kanpur Nagar,100.0,True,Uttar Pradesh,False
KANYAKUMARI,Kanniyakumari,91.66666666666666,True,Tamil Nadu,False
KAPURTHALA,Kapurthala,100.0,True,Punjab,False
KARAIKAL,Karaikal,100.0,True,Puducherry,False
KARAULI,Karauli,100.0,True,Rajasthan,False
KARBI ANGLONG,Karbi Anglong,100.0,True,Assam,False
KARGIL,Kargil,100.0,True,Jammu and Kashmir,False
KARIMGANJ,Karimganj,100.0,True,Assam,False
KARIMNAGAR,Karimnagar,100.0,True,Telangana,False
KARNAL,Karnal,100.0,True,Haryana,False
KARUR,Karur,100.0,True,Tamil Nadu,False
KASARAGOD,Kasaragod,100.0,True,Kerala,False
KASGANJ,Kasganj,100.0,True,Uttar Pradesh,False
KATHUA,Kathua,100.0,True,Jammu and Kashmir,False
KATIHAR,Katihar,100.0,True,Bihar,False
KATNI,Katni,100.0,True,Madhya Pradesh,False
KAUSHAMBI,Kaushambi,100.0,True,Uttar Pradesh,False
KEKRI,,54.54545454545454,False,,False
KENDRAPARA,Kendrapara,100.0,True,Odisha,False
KEONJHAR,Kendujhar,82.35294117647058,True,Odisha,False
KHAGARIA,Khagaria,100.0,True,Bihar,False
KHAIRAGARH-CHHUIKHADAN-GANDAI,,46.15384615384615,False,,False
KHAIRTHAL-TIJARA,,61.53846153846154,False,,False
KHAMMAM,Khammam,100.0,True,Telangana,False
KHEDA,Kheda,100.0,True,Gujarat,False
KHERI,,72.72727272727273,False,,False
KHOWAI,Khowai,100.0,True,Tripura,False
KHUNTI,Khunti,100.0,True,Jharkhand,False
KHURDA,,76.92307692307692,False,,False
KINNAUR,Kinnaur,100.0,True,Himachal Pradesh,False
KISHANGANJ,Kishanganj,100.0,True,Bihar,False
KISHTWAR,Kishtwar,100.0,True,Jammu and Kashmir,False
KOCH BIHAR,Koch Bihar,100.0,True,West Bengal,False
KODAGU,Kodagu,100.0,True,Karnataka,False
KODERMA,Kodarma,85.71428571428572,True,Jharkhand,False
KOHIMA,Kohima,100.0,True,Nagaland,False
KOKRAJHAR,Kokrajhar,100.0,True,Assam,False
KOLAR,Kolar,100.0,True,Karnataka,False
KOLASIB,Kolasib,100.0,True,Mizoram,False
KOLHAPUR,Kolhapur,100.0,True,Maharashtra,False
KOLKATA,Kolkata,100.0,True,West Bengal,False
KOLLAM,Kollam,100.0,True,Kerala,False
KOMRAM BHEEM (ASIFABAD),,50.0,False,,False
KONASEEMA,,62.5,False,,False
KONDAGAON,Kondagaon,100.0,True,Chhattisgarh,False
KOPPAL,Koppal,100.0,True,Karnataka,False
KORAPUT,Koraput,100.0,True,Odisha,False
KORBA,Korba,100.0,True,Chhattisgarh,False
KORIYA,Koriya,100.0,True,Chhattisgarh,False
KOTA,Kota,100.0,True,Rajasthan,False
KOTPUTLI-BEHROR,,45.45454545454546,False,,False
KOTTAYAM,Kottayam,100.0,True,Kerala,False
KOZHIKODE,Kozhikode,100.0,True,Kerala,False
KRISHNA,Krishna,100.0,True,Andhra Pradesh,False
KRISHNAGIRI,Krishnagiri,100.0,True,Tamil Nadu,False
KULGAM,Kulgam,100.0,True,Jammu and Kashmir,False
KULU,Kullu,88.88888888888889,True,Himachal Pradesh,False
KUPWARA,Kupwara,100.0,True,Jammu and Kashmir,False
KURNOOL,Kurnool,100.0,True,Andhra Pradesh,False
KURUKSHETRA,Kurukshetra,100.0,True,Haryana,False
KUSHI NAGAR,Kushinagar,95.23809523809523,True,Uttar Pradesh,False
LAHUL & SPITI,Lahul & Spiti,100.0,True,Himachal Pradesh,False
LAKHIMPUR,Lakhimpur,100.0,True,Assam,False
LAKHISARAI,Lakhisarai,100.0,True,Bihar,False
LAKSHADWEEP,Lakshadweep,100.0,True,Lakshadweep,False
LALITPUR,Lalitpur,100.0,True,Uttar Pradesh,False
LATEHAR,Latehar,100.0,True,Jharkhand,False
LATUR,Latur,100.0,True,Maharashtra,False
LAWNGTLAI,Lawangtlai,94.73684210526316,True,Mizoram,False
LEH LADAKH,Leh (Ladakh),90.9090909090909,True,Jammu and Kashmir,False
LEPARADA,,66.66666666666667,False,,False
LOHARDAGGA,Lohardaga,94.73684210526316,True,Jharkhand,False
LOHIT,Lohit,100.0,True,Arunachal Pradesh,False
LONGDING,Longding,100.0,True,Arunachal Pradesh,False
LOWER DIBANG VALLEY,Lower Dibang Valley,100.0,True,Arunachal Pradesh,False
LOWER SUBANSIRI,Lower Subansiri,100.0,True,Arunachal Pradesh,False
LUCKNOW,Lucknow,100.0,True,Uttar Pradesh,False
LUDHIANA,Ludhiana,100.0,True,Punjab,False
LUNGLEI,Lunglei,100.0,True,Mizoram,False
MADHEPURA,Madhepura,100.0,True,Bihar,False
MADHUBANI,Madhubani,100.0,True,Bihar,False
MADURAI,Madurai,100.0,True,Tamil Nadu,False
MAHABUBABAD,,72.72727272727273,False,,False
MAHARAJGANJ,Maharajganj,100.0,True,Uttar Pradesh,False
MAHASAMUND,Mahasamund,100.0,True,Chhattisgarh,False
MAHBUBNAGAR,Mahbubnagar,100.0,True,Telangana,False
MAHE,Mahe,100.0,True,Puducherry,False
MAHENDRAGARH,Mahendragarh,100.0,True,Haryana,False
MAHESANA,Mahesana,100.0,True,Gujarat,False
MAHISAGAR,Mahisagar,100.0,True,Gujarat,False
MAHOBA,Mahoba,100.0,True,Uttar Pradesh,False
MAIHAR,,76.92307692307692,False,,False
MAINPURI,Mainpuri,100.0,True,Uttar Pradesh,False
MAJULI,,66.66666666666667,False,,False
MALAPPURAM,Malappuram,100.0,True,Kerala,False
MALDAH,Maldah,100.0,True,West Bengal,False
MALERKOTLA,,66.66666666666667,False,,False
MALKANGIRI,Malkangiri,100.0,True,Odisha,False
MAMIT,Mamit,100.0,True,Mizoram,False
MANCHERIAL,,63.63636363636363,False,,False
MANDI,Mandi,100.0,True,Himachal Pradesh,False
MANDLA,Mandla,100.0,True,Madhya Pradesh,False
MANDSAUR,Mandsaur,100.0,True,Madhya Pradesh,False
MANDYA,Mandya,100.0,True,Karnataka,False
MANENDRAGARH-CHIRMIRI-BHARATPUR,,51.162790697674424,False,,False
MANGAN,,72.72727272727273,False,,False
MANSA,Mansa,100.0,True,Punjab,False
MATHURA,Mathura,100.0,True,Uttar Pradesh,False
MAU,Mau,100.0,True,Uttar Pradesh,False
MAUGANJ,,71.42857142857143,False,,False
MAYILADUTHURAI,,66.66666666666667,False,,False
MAYURBHANJ,Mayurbhanj,100.0,True,Odisha,False
MEDAK,Medak,100.0,True,Telangana,False
MEDCHAL-MALKAJGIRI,,64.28571428571428,False,,False
MEERUT,Meerut,100.0,True,Uttar Pradesh,False
MEWAT,Mewat,100.0,True,Haryana,False
MIRZAPUR,Mirzapur,100.0,True,Uttar Pradesh,False
MOGA,Moga,100.0,True,Punjab,False
MOHLA-MANPUR-AMBAGARH CHOUKI,,51.28205128205128,False,,False
MOKOKCHUNG,Mokokchung,100.0,True,Nagaland,False
MON,Mon,100.0,True,Nagaland,False
MORADABAD,Moradabad,100.0,True,Uttar Pradesh,False
MORBI,Morbi,100.0,True,Gujarat,False
MORENA,Morena,100.0,True,Madhya Pradesh,False
MORIGAON,Morigaon,100.0,True,Assam,False
MUKTSAR,Muktsar,100.0,True,Punjab,False
MULUGU,,57.14285714285714,False,,False
MUMBAI,,70.58823529411764,False,,False
MUMBAI SUBURBAN,Mumbai Suburban,100.0,True,Maharashtra,False
MUNGELI,Mungeli,100.0,True,Chhattisgarh,False
MUNGER,Munger,100.0,True,Bihar,False
MURSHIDABAD,Murshidabad,100.0,True,West Bengal,False
MUZAFFARNAGAR,Muzaffarnagar,100.0,True,Uttar Pradesh,False
MUZAFFARPUR,Muzaffarpur,100.0,True,Bihar,False
MYSURU,,66.66666666666667,False,,False
NADIA,Nadia,100.0,True,West Bengal,False
NAGAON,Nagaon,100.0,True,Assam,False
NAGAPATTINAM,Nagappattinam,96.0,True,Tamil Nadu,False
NAGARKURNOOL,,73.6842105263158,False,,False
NAGAUR,Nagaur,100.0,True,Rajasthan,False
NAGPUR,Nagpur,100.0,True,Maharashtra,False
NAINITAL,Nainital,100.0,True,Uttarakhand,False
NALANDA,Nalanda,100.0,True,Bihar,False
NALBARI,Nalbari,100.0,True,Assam,False
NALGONDA,Nalgonda,100.0,True,Telangana,False
