district_gadm,state_gadm,quarter,year,q,quarter_num,deposits,district_rbi,state_rbi
Bilaspur,Himachal Pradesh,2009Q1,2009,1,21,163,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2009Q2,2009,2,22,168,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2009Q3,2009,3,23,170,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2009Q4,2009,4,24,176,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2010Q1,2010,1,25,180,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2010Q2,2010,2,26,182,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2010Q3,2010,3,27,183,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2010Q4,2010,4,28,184,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2011Q1,2011,1,29,186,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2011Q2,2011,2,30,186,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2011Q3,2011,3,31,188,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2011Q4,2011,4,32,189,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2012Q1,2012,1,33,195,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2012Q2,2012,2,34,181,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2012Q3,2012,3,35,186,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2012Q4,2012,4,36,196,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2013Q1,2013,1,37,206,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2013Q2,2013,2,38,214,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2013Q3,2013,3,39,225,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2013Q4,2013,4,40,230,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2014Q1,2014,1,41,233,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2014Q2,2014,2,42,237,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2014Q3,2014,3,43,243,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2014Q4,2014,4,44,251,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2015Q1,2015,1,45,261,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2015Q2,2015,2,46,265,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2015Q3,2015,3,47,267,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2015Q4,2015,4,48,272,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2016Q1,2016,1,49,282,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2016Q2,2016,2,50,283,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2017Q2,2017,2,51,290,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2017Q3,2017,3,52,292,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2017Q4,2017,4,53,293,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2018Q1,2018,1,54,293,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2018Q2,2018,2,55,301,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2018Q3,2018,3,56,300,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2018Q4,2018,4,57,301,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2019Q1,2019,1,58,300,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2019Q2,2019,2,59,309,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2019Q3,2019,3,60,316,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2019Q4,2019,4,61,319,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2020Q1,2020,1,62,301,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2020Q2,2020,2,63,302,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2020Q3,2020,3,64,306,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2020Q4,2020,4,65,307,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2021Q1,2021,1,66,308,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2021Q2,2021,2,67,310,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2021Q3,2021,3,68,315,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2021Q4,2021,4,69,314,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2022Q1,2022,1,70,314,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2022Q2,2022,2,71,321,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2022Q3,2022,3,72,321,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2022Q4,2022,4,73,326,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2023Q1,2023,1,74,29653.4627,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2023Q2,2023,2,75,30723.1585,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2023Q3,2023,3,76,30946.007100000003,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2023Q4,2023,4,77,30942.8428,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2024Q1,2024,1,78,32260.239500000003,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2024Q2,2024,2,79,33227.5239,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2024Q3,2024,3,80,33406.3739,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2024Q4,2024,4,81,32907.840899999996,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2025Q1,2025,1,82,34439.8145,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2025Q2,2025,2,83,34232.2845,BILASPUR,CHHATTISGARH
Bilaspur,Himachal Pradesh,2025Q3,2025,3,84,38225.86,BILASPUR,CHHATTISGARH
Birbhum,West Bengal,2004Q1,2004,1,1,174,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2004Q2,2004,2,2,175,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2004Q3,2004,3,3,174,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2004Q4,2004,4,4,174,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2005Q1,2005,1,5,174,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2005Q2,2005,2,6,174,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2005Q3,2005,3,7,174,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2005Q4,2005,4,8,174,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2006Q1,2006,1,9,174,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2006Q2,2006,2,10,174,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2006Q3,2006,3,11,174,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2006Q4,2006,4,12,174,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2007Q1,2007,1,13,175,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2007Q2,2007,2,14,175,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2007Q3,2007,3,15,175,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2007Q4,2007,4,16,179,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2008Q1,2008,1,17,180,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2008Q2,2008,2,18,181,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2008Q3,2008,3,19,181,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2008Q4,2008,4,20,183,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2009Q1,2009,1,21,183,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2009Q2,2009,2,22,183,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2009Q3,2009,3,23,182,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2009Q4,2009,4,24,185,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2010Q1,2010,1,25,188,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2010Q2,2010,2,26,191,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2010Q3,2010,3,27,192,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2010Q4,2010,4,28,192,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2011Q1,2011,1,29,197,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2011Q2,2011,2,30,198,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2011Q3,2011,3,31,200,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2011Q4,2011,4,32,203,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2012Q1,2012,1,33,207,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2012Q2,2012,2,34,217,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2012Q3,2012,3,35,220,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2012Q4,2012,4,36,220,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2013Q1,2013,1,37,228,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2013Q2,2013,2,38,228,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2013Q3,2013,3,39,230,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2013Q4,2013,4,40,234,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2014Q1,2014,1,41,240,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2014Q2,2014,2,42,241,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2014Q3,2014,3,43,242,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2014Q4,2014,4,44,246,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2015Q1,2015,1,45,249,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2015Q2,2015,2,46,251,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2015Q3,2015,3,47,263,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2015Q4,2015,4,48,264,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2016Q1,2016,1,49,265,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2016Q2,2016,2,50,265,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2017Q2,2017,2,51,269,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2017Q3,2017,3,52,269,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2017Q4,2017,4,53,270,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2018Q1,2018,1,54,272,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2018Q2,2018,2,55,273,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2018Q3,2018,3,56,273,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2018Q4,2018,4,57,274,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2019Q1,2019,1,58,277,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2019Q2,2019,2,59,315,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2019Q3,2019,3,60,317,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2019Q4,2019,4,61,317,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2020Q1,2020,1,62,318,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2020Q2,2020,2,63,320,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2020Q3,2020,3,64,321,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2020Q4,2020,4,65,319,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2021Q1,2021,1,66,321,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2021Q2,2021,2,67,324,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2021Q3,2021,3,68,324,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2021Q4,2021,4,69,325,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2022Q1,2022,1,70,323,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2022Q2,2022,2,71,323,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2022Q3,2022,3,72,323,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2022Q4,2022,4,73,324,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2023Q1,2023,1,74,16666.3601,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2023Q2,2023,2,75,17038.637000000002,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2023Q3,2023,3,76,17483.8452,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2023Q4,2023,4,77,17698.005100000002,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2024Q1,2024,1,78,18385.8356,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2024Q2,2024,2,79,18673.9593,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2024Q3,2024,3,80,19184.9732,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2024Q4,2024,4,81,19580.316700000003,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2025Q1,2025,1,82,20232.2694,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2025Q2,2025,2,83,20470.005400000002,BIRBHUM,WEST BENGAL
Birbhum,West Bengal,2025Q3,2025,3,84,21041.560100000002,BIRBHUM,WEST BENGAL
Bishnupur,Manipur,2004Q1,2004,1,1,5,BISHENPUR,MANIPUR
Bishnupur,Manipur,2004Q2,2004,2,2,5,BISHENPUR,MANIPUR
Bishnupur,Manipur,2004Q3,2004,3,3,5,BISHENPUR,MANIPUR
Bishnupur,Manipur,2004Q4,2004,4,4,5,BISHENPUR,MANIPUR
Bishnupur,Manipur,2005Q1,2005,1,5,5,BISHENPUR,MANIPUR
Bishnupur,Manipur,2005Q2,2005,2,6,5,BISHENPUR,MANIPUR
Bishnupur,Manipur,2005Q3,2005,3,7,5,BISHENPUR,MANIPUR
Bishnupur,Manipur,2005Q4,2005,4,8,5,BISHENPUR,MANIPUR
Bishnupur,Manipur,2006Q1,2006,1,9,5,BISHENPUR,MANIPUR
Bishnupur,Manipur,2006Q2,2006,2,10,5,BISHENPUR,MANIPUR
Bishnupur,Manipur,2006Q3,2006,3,11,5,BISHENPUR,MANIPUR
Bishnupur,Manipur,2006Q4,2006,4,12,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2007Q1,2007,1,13,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2007Q2,2007,2,14,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2007Q3,2007,3,15,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2007Q4,2007,4,16,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2008Q1,2008,1,17,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2008Q2,2008,2,18,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2008Q3,2008,3,19,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2008Q4,2008,4,20,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2009Q1,2009,1,21,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2009Q2,2009,2,22,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2009Q3,2009,3,23,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2009Q4,2009,4,24,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2010Q1,2010,1,25,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2010Q2,2010,2,26,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2010Q3,2010,3,27,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2010Q4,2010,4,28,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2011Q1,2011,1,29,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2011Q2,2011,2,30,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2011Q3,2011,3,31,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2011Q4,2011,4,32,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2012Q1,2012,1,33,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2012Q2,2012,2,34,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2012Q3,2012,3,35,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2012Q4,2012,4,36,6,BISHENPUR,MANIPUR
Bishnupur,Manipur,2013Q1,2013,1,37,7,BISHENPUR,MANIPUR
Bishnupur,Manipur,2013Q2,2013,2,38,9,BISHENPUR,MANIPUR
Bishnupur,Manipur,2013Q3,2013,3,39,9,BISHENPUR,MANIPUR
Bishnupur,Manipur,2013Q4,2013,4,40,9,BISHENPUR,MANIPUR
Bishnupur,Manipur,2014Q1,2014,1,41,9,BISHENPUR,MANIPUR
Bishnupur,Manipur,2014Q2,2014,2,42,9,BISHENPUR,MANIPUR
Bishnupur,Manipur,2014Q3,2014,3,43,9,BISHENPUR,MANIPUR
Bishnupur,Manipur,2014Q4,2014,4,44,9,BISHENPUR,MANIPUR
Bishnupur,Manipur,2015Q1,2015,1,45,9,BISHENPUR,MANIPUR
Bishnupur,Manipur,2015Q2,2015,2,46,9,BISHENPUR,MANIPUR
Bishnupur,Manipur,2015Q3,2015,3,47,9,BISHENPUR,MANIPUR
Bishnupur,Manipur,2015Q4,2015,4,48,10,BISHENPUR,MANIPUR
Bishnupur,Manipur,2016Q1,2016,1,49,10,BISHENPUR,MANIPUR
Bishnupur,Manipur,2016Q2,2016,2,50,10,BISHENPUR,MANIPUR
Bishnupur,Manipur,2017Q2,2017,2,51,13,BISHENPUR,MANIPUR
Bishnupur,Manipur,2017Q3,2017,3,52,13,BISHENPUR,MANIPUR
Bishnupur,Manipur,2017Q4,2017,4,53,13,BISHENPUR,MANIPUR
Bishnupur,Manipur,2018Q1,2018,1,54,13,BISHENPUR,MANIPUR
Bishnupur,Manipur,2018Q2,2018,2,55,13,BISHENPUR,MANIPUR
Bishnupur,Manipur,2018Q3,2018,3,56,13,BISHENPUR,MANIPUR
Bishnupur,Manipur,2018Q4,2018,4,57,13,BISHENPUR,MANIPUR
Bishnupur,Manipur,2019Q1,2019,1,58,14,BISHENPUR,MANIPUR
Bishnupur,Manipur,2019Q2,2019,2,59,15,BISHENPUR,MANIPUR
Bishnupur,Manipur,2019Q3,2019,3,60,15,BISHENPUR,MANIPUR
Bishnupur,Manipur,2019Q4,2019,4,61,15,BISHENPUR,MANIPUR
Bishnupur,Manipur,2020Q1,2020,1,62,15,BISHENPUR,MANIPUR
Bishnupur,Manipur,2020Q2,2020,2,63,16,BISHENPUR,MANIPUR
Bishnupur,Manipur,2020Q3,2020,3,64,16,BISHENPUR,MANIPUR
Bishnupur,Manipur,2020Q4,2020,4,65,16,BISHENPUR,MANIPUR
Bishnupur,Manipur,2021Q1,2021,1,66,16,BISHENPUR,MANIPUR
Bishnupur,Manipur,2021Q2,2021,2,67,16,BISHENPUR,MANIPUR
Bishnupur,Manipur,2021Q3,2021,3,68,17,BISHENPUR,MANIPUR
Bishnupur,Manipur,2021Q4,2021,4,69,17,BISHENPUR,MANIPUR
Bishnupur,Manipur,2022Q1,2022,1,70,18,BISHENPUR,MANIPUR
Bishnupur,Manipur,2022Q2,2022,2,71,18,BISHENPUR,MANIPUR
Bishnupur,Manipur,2022Q3,2022,3,72,18,BISHENPUR,MANIPUR
Bishnupur,Manipur,2022Q4,2022,4,73,19,BISHENPUR,MANIPUR
Bishnupur,Manipur,2023Q1,2023,1,74,301.7593,BISHENPUR,MANIPUR
Bishnupur,Manipur,2023Q2,2023,2,75,335.9209,BISHENPUR,MANIPUR
Bishnupur,Manipur,2023Q3,2023,3,76,362.1505,BISHENPUR,MANIPUR
Bishnupur,Manipur,2023Q4,2023,4,77,356.4271,BISHENPUR,MANIPUR
Bishnupur,Manipur,2024Q1,2024,1,78,395.9186,BISHENPUR,MANIPUR
Bishnupur,Manipur,2024Q2,2024,2,79,365.7238,BISHENPUR,MANIPUR
Bishnupur,Manipur,2024Q3,2024,3,80,398.59749999999997,BISHENPUR,MANIPUR
Bishnupur,Manipur,2024Q4,2024,4,81,394.4441,BISHENPUR,MANIPUR
Bishnupur,Manipur,2025Q1,2025,1,82,414.2429,BISHENPUR,MANIPUR
Bishnupur,Manipur,2025Q2,2025,2,83,439.93170000000003,BISHENPUR,MANIPUR
Bishnupur,Manipur,2025Q3,2025,3,84,452.1762,BISHENPUR,MANIPUR
Bokaro,Jharkhand,2004Q1,2004,1,1,110,BOKARO,JHARKHAND
Bokaro,Jharkhand,2004Q2,2004,2,2,110,BOKARO,JHARKHAND
Bokaro,Jharkhand,2004Q3,2004,3,3,110,BOKARO,JHARKHAND
Bokaro,Jharkhand,2004Q4,2004,4,4,111,BOKARO,JHARKHAND
Bokaro,Jharkhand,2005Q1,2005,1,5,112,BOKARO,JHARKHAND
Bokaro,Jharkhand,2005Q2,2005,2,6,113,BOKARO,JHARKHAND
Bokaro,Jharkhand,2005Q3,2005,3,7,113,BOKARO,JHARKHAND
Bokaro,Jharkhand,2005Q4,2005,4,8,114,BOKARO,JHARKHAND
Bokaro,Jharkhand,2006Q1,2006,1,9,114,BOKARO,JHARKHAND
Bokaro,Jharkhand,2006Q2,2006,2,10,114,BOKARO,JHARKHAND
Bokaro,Jharkhand,2006Q3,2006,3,11,115,BOKARO,JHARKHAND
Bokaro,Jharkhand,2006Q4,2006,4,12,115,BOKARO,JHARKHAND
Bokaro,Jharkhand,2007Q1,2007,1,13,119,BOKARO,JHARKHAND
Bokaro,Jharkhand,2007Q2,2007,2,14,118,BOKARO,JHARKHAND
Bokaro,Jharkhand,2007Q3,2007,3,15,120,BOKARO,JHARKHAND
Bokaro,Jharkhand,2007Q4,2007,4,16,122,BOKARO,JHARKHAND
Bokaro,Jharkhand,2008Q1,2008,1,17,122,BOKARO,JHARKHAND
Bokaro,Jharkhand,2008Q2,2008,2,18,120,BOKARO,JHARKHAND
Bokaro,Jharkhand,2008Q3,2008,3,19,120,BOKARO,JHARKHAND
Bokaro,Jharkhand,2008Q4,2008,4,20,124,BOKARO,JHARKHAND
Bokaro,Jharkhand,2009Q1,2009,1,21,127,BOKARO,JHARKHAND
Bokaro,Jharkhand,2009Q2,2009,2,22,127,BOKARO,JHARKHAND
Bokaro,Jharkhand,2009Q3,2009,3,23,128,BOKARO,JHARKHAND
Bokaro,Jharkhand,2009Q4,2009,4,24,131,BOKARO,JHARKHAND
Bokaro,Jharkhand,2010Q1,2010,1,25,132,BOKARO,JHARKHAND
Bokaro,Jharkhand,2010Q2,2010,2,26,129,BOKARO,JHARKHAND
Bokaro,Jharkhand,2010Q3,2010,3,27,129,BOKARO,JHARKHAND
Bokaro,Jharkhand,2010Q4,2010,4,28,129,BOKARO,JHARKHAND
Bokaro,Jharkhand,2011Q1,2011,1,29,133,BOKARO,JHARKHAND
Bokaro,Jharkhand,2011Q2,2011,2,30,134,BOKARO,JHARKHAND
Bokaro,Jharkhand,2011Q3,2011,3,31,137,BOKARO,JHARKHAND
Bokaro,Jharkhand,2011Q4,2011,4,32,141,BOKARO,JHARKHAND
Bokaro,Jharkhand,2012Q1,2012,1,33,150,BOKARO,JHARKHAND
Bokaro,Jharkhand,2012Q2,2012,2,34,153,BOKARO,JHARKHAND
Bokaro,Jharkhand,2012Q3,2012,3,35,157,BOKARO,JHARKHAND
Bokaro,Jharkhand,2012Q4,2012,4,36,159,BOKARO,JHARKHAND
Bokaro,Jharkhand,2013Q1,2013,1,37,162,BOKARO,JHARKHAND
Bokaro,Jharkhand,2013Q2,2013,2,38,170,BOKARO,JHARKHAND
Bokaro,Jharkhand,2013Q3,2013,3,39,173,BOKARO,JHARKHAND
Bokaro,Jharkhand,2013Q4,2013,4,40,178,BOKARO,JHARKHAND
Bokaro,Jharkhand,2014Q1,2014,1,41,182,BOKARO,JHARKHAND
Bokaro,Jharkhand,2014Q2,2014,2,42,186,BOKARO,JHARKHAND
Bokaro,Jharkhand,2014Q3,2014,3,43,187,BOKARO,JHARKHAND
Bokaro,Jharkhand,2014Q4,2014,4,44,193,BOKARO,JHARKHAND
Bokaro,Jharkhand,2015Q1,2015,1,45,197,BOKARO,JHARKHAND
Bokaro,Jharkhand,2015Q2,2015,2,46,198,BOKARO,JHARKHAND
Bokaro,Jharkhand,2015Q3,2015,3,47,199,BOKARO,JHARKHAND
Bokaro,Jharkhand,2015Q4,2015,4,48,199,BOKARO,JHARKHAND
Bokaro,Jharkhand,2016Q1,2016,1,49,201,BOKARO,JHARKHAND
Bokaro,Jharkhand,2016Q2,2016,2,50,201,BOKARO,JHARKHAND
Bokaro,Jharkhand,2017Q2,2017,2,51,208,BOKARO,JHARKHAND
Bokaro,Jharkhand,2017Q3,2017,3,52,206,BOKARO,JHARKHAND
Bokaro,Jharkhand,2017Q4,2017,4,53,206,BOKARO,JHARKHAND
Bokaro,Jharkhand,2018Q1,2018,1,54,207,BOKARO,JHARKHAND
Bokaro,Jharkhand,2018Q2,2018,2,55,208,BOKARO,JHARKHAND
Bokaro,Jharkhand,2018Q3,2018,3,56,208,BOKARO,JHARKHAND
Bokaro,Jharkhand,2018Q4,2018,4,57,208,BOKARO,JHARKHAND
Bokaro,Jharkhand,2019Q1,2019,1,58,207,BOKARO,JHARKHAND
Bokaro,Jharkhand,2019Q2,2019,2,59,212,BOKARO,JHARKHAND
Bokaro,Jharkhand,2019Q3,2019,3,60,215,BOKARO,JHARKHAND
Bokaro,Jharkhand,2019Q4,2019,4,61,215,BOKARO,JHARKHAND
Bokaro,Jharkhand,2020Q1,2020,1,62,215,BOKARO,JHARKHAND
Bokaro,Jharkhand,2020Q2,2020,2,63,214,BOKARO,JHARKHAND
Bokaro,Jharkhand,2020Q3,2020,3,64,215,BOKARO,JHARKHAND
Bokaro,Jharkhand,2020Q4,2020,4,65,219,BOKARO,JHARKHAND
Bokaro,Jharkhand,2021Q1,2021,1,66,216,BOKARO,JHARKHAND
Bokaro,Jharkhand,2021Q2,2021,2,67,214,BOKARO,JHARKHAND
Bokaro,Jharkhand,2021Q3,2021,3,68,214,BOKARO,JHARKHAND
Bokaro,Jharkhand,2021Q4,2021,4,69,214,BOKARO,JHARKHAND
Bokaro,Jharkhand,2022Q1,2022,1,70,214,BOKARO,JHARKHAND
Bokaro,Jharkhand,2022Q2,2022,2,71,215,BOKARO,JHARKHAND
Bokaro,Jharkhand,2022Q3,2022,3,72,214,BOKARO,JHARKHAND
Bokaro,Jharkhand,2022Q4,2022,4,73,217,BOKARO,JHARKHAND
Bokaro,Jharkhand,2023Q1,2023,1,74,22477.239999999998,BOKARO,JHARKHAND
Bokaro,Jharkhand,2023Q2,2023,2,75,22670.0085,BOKARO,JHARKHAND
Bokaro,Jharkhand,2023Q3,2023,3,76,23492.0921,BOKARO,JHARKHAND
Bokaro,Jharkhand,2023Q4,2023,4,77,23875.9955,BOKARO,JHARKHAND
Bokaro,Jharkhand,2024Q1,2024,1,78,24517.68,BOKARO,JHARKHAND
Bokaro,Jharkhand,2024Q2,2024,2,79,24711.9049,BOKARO,JHARKHAND
Bokaro,Jharkhand,2024Q3,2024,3,80,25144.9755,BOKARO,JHARKHAND
Bokaro,Jharkhand,2024Q4,2024,4,81,25336.5157,BOKARO,JHARKHAND
