district_gadm,state_gadm,quarter,year,q,quarter_num,deposits,district_rbi,state_rbi
Adilabad,Telangana,2023Q1,2023,1,74,2544.7776,ADILABAD,TELANGANA
Adilabad,Telangana,2023Q2,2023,2,75,2659.7119000000002,ADILABAD,TELANGANA
Adilabad,Telangana,2023Q3,2023,3,76,2726.7464,ADILABAD,TELANGANA
Adilabad,Telangana,2023Q4,2023,4,77,2770.1567,ADILABAD,TELANGANA
Adilabad,Telangana,2024Q1,2024,1,78,2878.1068999999998,ADILABAD,TELANGANA
Adilabad,Telangana,2024Q2,2024,2,79,2896.8491,ADILABAD,TELANGANA
Adilabad,Telangana,2024Q3,2024,3,80,2969.4103999999998,ADILABAD,TELANGANA
Adilabad,Telangana,2024Q4,2024,4,81,3093.4188,ADILABAD,TELANGANA
Adilabad,Telangana,2025Q1,2025,1,82,3381.2753999999995,ADILABAD,TELANGANA
Adilabad,Telangana,2025Q2,2025,2,83,3532.8544,ADILABAD,TELANGANA
Adilabad,Telangana,2025Q3,2025,3,84,3492.5953,ADILABAD,TELANGANA
Agar Malwa,Madhya Pradesh,2013Q3,2013,3,39,26,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2013Q4,2013,4,40,28,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2014Q1,2014,1,41,30,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2014Q2,2014,2,42,30,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2014Q3,2014,3,43,30,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2014Q4,2014,4,44,30,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2015Q1,2015,1,45,30,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2015Q2,2015,2,46,32,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2015Q3,2015,3,47,34,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2015Q4,2015,4,48,34,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2016Q1,2016,1,49,35,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2016Q2,2016,2,50,35,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2017Q2,2017,2,51,36,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2017Q3,2017,3,52,36,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2017Q4,2017,4,53,39,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2018Q1,2018,1,54,39,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2018Q2,2018,2,55,39,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2018Q3,2018,3,56,39,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2018Q4,2018,4,57,39,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2019Q1,2019,1,58,42,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2019Q2,2019,2,59,42,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2019Q3,2019,3,60,42,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2019Q4,2019,4,61,43,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2020Q1,2020,1,62,44,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2020Q2,2020,2,63,44,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2020Q3,2020,3,64,43,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2020Q4,2020,4,65,46,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2021Q1,2021,1,66,47,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2021Q2,2021,2,67,47,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2021Q3,2021,3,68,48,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2021Q4,2021,4,69,49,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2022Q1,2022,1,70,50,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2022Q2,2022,2,71,50,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2022Q3,2022,3,72,50,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2022Q4,2022,4,73,50,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2023Q1,2023,1,74,1040.0878,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2023Q2,2023,2,75,1074.9925,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2023Q3,2023,3,76,1130.2457,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2023Q4,2023,4,77,1097.549,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2024Q1,2024,1,78,1212.6592,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2024Q2,2024,2,79,1188.5548999999999,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2024Q3,2024,3,80,1217.6717,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2024Q4,2024,4,81,1225.2371,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2025Q1,2025,1,82,1364.7191,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2025Q2,2025,2,83,1346.0773,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2025Q3,2025,3,84,1382.3411,AGAR-MALWA,MADHYA PRADESH
Agra,Uttar Pradesh,2004Q1,2004,1,1,230,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2004Q2,2004,2,2,228,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2004Q3,2004,3,3,228,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2004Q4,2004,4,4,229,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2005Q1,2005,1,5,232,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2005Q2,2005,2,6,232,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2005Q3,2005,3,7,232,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2005Q4,2005,4,8,233,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2006Q1,2006,1,9,235,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2006Q2,2006,2,10,240,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2006Q3,2006,3,11,241,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2006Q4,2006,4,12,242,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2007Q1,2007,1,13,244,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2007Q2,2007,2,14,248,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2007Q3,2007,3,15,250,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2007Q4,2007,4,16,253,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2008Q1,2008,1,17,257,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2008Q2,2008,2,18,274,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2008Q3,2008,3,19,279,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2008Q4,2008,4,20,279,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2009Q1,2009,1,21,281,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2009Q2,2009,2,22,282,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2009Q3,2009,3,23,289,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2009Q4,2009,4,24,290,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2010Q1,2010,1,25,299,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2010Q2,2010,2,26,303,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2010Q3,2010,3,27,309,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2010Q4,2010,4,28,314,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2011Q1,2011,1,29,323,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2011Q2,2011,2,30,328,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2011Q3,2011,3,31,337,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2011Q4,2011,4,32,343,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2012Q1,2012,1,33,362,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2012Q2,2012,2,34,372,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2012Q3,2012,3,35,379,AGRA,UTTAR PRADESH
