district_emdat,district_gadm_match,match_score_emdat_gadm,matched_emdat_gadm
Sheohar,Sheohar,100.0,True
Shimla Districts,,54.54545454545454,False
Shravasti,Shravasti,100.0,True
Sibsagar,Sivasagar,82.35294117647058,True
Siddharth Nagar,Siddharth Nagar,100.0,True
Siddharthnagar Districts,,71.7948717948718,False
Sikkim,,70.58823529411764,False
Sirohi,Sirohi,100.0,True
Sitamarhi,Sitamarhi,100.0,True
Sitapur,Sitapur,100.0,True
Solan,Solan,100.0,True
Sonitpur,Sonitpur,100.0,True
Sultanpur,Sultanpur,100.0,True
Supaul,Supaul,100.0,True
Surat,Surat,100.0,True
Tamil Nadu,,55.55555555555556,False
Tenkasi Districts,,55.172413793103445,False
Thane,Thane,100.0,True
Thiruvallur,Thiruvallur,100.0,True
Thiruvananthapuram,Thiruvananthapuram,100.0,True
Thoothukudi,Thoothukkudi,95.65217391304348,True
Thoubal,Thoubal,100.0,True
Thrissur,Thrissur,100.0,True
Tikamgarh,Tikamgarh,100.0,True
Tinsukia,Tinsukia,100.0,True
Tirunelveli,Tirunelveli,100.0,True
Tripura,Raipur,76.92307692307692,True
Tripura State,,56.00000000000001,False
Tripura States,,53.84615384615385,False
Udaipur,Udaipur,100.0,True
Udalguri District,,64.0,False
Udupi,Udupi,100.0,True
Uttar Pradesh,,69.56521739130434,False
Uttarakhand,Uttara Kannada,80.0,True
Vadodara,Vadodara,100.0,True
Valsad,Valsad,100.0,True
Varanasi,Varanasi,100.0,True
Vidisha,Vidisha,100.0,True
Villupuram,Viluppuram,90.0,True
Virudhunagar,Virudunagar,95.65217391304348,True
West Bengal,,72.72727272727273,False
West Imphal,West Nimar,76.19047619047619,True
