gadm_district,gadm_state,year,month,mean_radiance,pixel_count
Adilabad,Telangana,2022,9,0.4531856477260588,158834.0
Adilabad,Telangana,2022,10,0.4237433075904846,158834.0
Adilabad,Telangana,2022,11,0.3959798514842987,158834.0
Adilabad,Telangana,2022,12,0.3987245559692383,158834.0
Adilabad,Telangana,2023,1,0.3759430348873138,158834.0
Adilabad,Telangana,2023,2,0.4852326810359955,158834.0
Adilabad,Telangana,2023,3,0.4466045796871184,158834.0
Adilabad,Telangana,2023,4,0.4494942426681517,158834.0
Adilabad,Telangana,2023,5,0.4737196564674376,158834.0
Adilabad,Telangana,2023,6,0.4307550489902495,158834.0
Adilabad,Telangana,2023,7,0.016368331387639,158825.0
Adilabad,Telangana,2023,8,0.4158954024314879,158834.0
Adilabad,Telangana,2023,9,0.2675776779651642,158770.0
Adilabad,Telangana,2023,10,0.4699511826038359,158834.0
Adilabad,Telangana,2023,11,0.4995773434638977,158834.0
Adilabad,Telangana,2023,12,0.4257355630397795,158834.0
Adilabad,Telangana,2024,1,0.4140509963035582,158834.0
Adilabad,Telangana,2024,2,0.4020836651325226,158834.0
Adilabad,Telangana,2024,3,0.5308353304862976,158834.0
Adilabad,Telangana,2024,4,0.4978063702583313,158834.0
Adilabad,Telangana,2024,5,0.494472563266754,158834.0
Adilabad,Telangana,2024,6,0.4759057164192198,158834.0
Adilabad,Telangana,2024,7,0.0654016733169555,158834.0
Adilabad,Telangana,2024,8,0.0969709903001785,158834.0
Adilabad,Telangana,2024,9,0.485864520072937,158834.0
Adilabad,Telangana,2024,10,0.5014715194702148,158834.0
Adilabad,Telangana,2024,11,0.4530313909053801,158834.0
Adilabad,Telangana,2024,12,0.4442521929740906,158834.0
Agar Malwa,Madhya Pradesh,2015,1,0.1660551279783249,33071.0
Agar Malwa,Madhya Pradesh,2015,2,0.2011334896087646,33075.0
Agar Malwa,Madhya Pradesh,2015,3,0.1976716667413711,33075.0
Agar Malwa,Madhya Pradesh,2015,4,0.2338225096464157,33075.0
Agar Malwa,Madhya Pradesh,2015,5,0.1675546467304229,33075.0
Agar Malwa,Madhya Pradesh,2015,6,0.1134195625782013,31504.0
Agar Malwa,Madhya Pradesh,2015,7,0.1285066753625869,32344.0
Agar Malwa,Madhya Pradesh,2015,8,0.1021400019526481,33042.0
Agar Malwa,Madhya Pradesh,2015,9,0.1479906141757965,33075.0
Agar Malwa,Madhya Pradesh,2015,10,0.1743198782205581,33075.0
Agar Malwa,Madhya Pradesh,2015,11,0.2005862444639206,33075.0
Agar Malwa,Madhya Pradesh,2015,12,0.2029880583286285,33075.0
Agar Malwa,Madhya Pradesh,2016,1,0.1305281668901443,32186.0
Agar Malwa,Madhya Pradesh,2016,2,0.1373799592256546,32324.0
Agar Malwa,Madhya Pradesh,2016,3,0.1741129159927368,33074.0
Agar Malwa,Madhya Pradesh,2016,4,0.2029641717672348,33075.0
Agar Malwa,Madhya Pradesh,2016,5,0.2262769490480423,33075.0
Agar Malwa,Madhya Pradesh,2016,6,0.1811437457799911,33075.0
Agar Malwa,Madhya Pradesh,2016,7,0.0605091862380504,32071.0
Agar Malwa,Madhya Pradesh,2016,8,0.074612058699131,32660.0
Agar Malwa,Madhya Pradesh,2016,9,0.1489502787590026,33075.0
Agar Malwa,Madhya Pradesh,2016,10,0.203284353017807,33075.0
Agar Malwa,Madhya Pradesh,2016,11,0.1426693648099899,33049.0
Agar Malwa,Madhya Pradesh,2016,12,0.1344669312238693,32342.0
Agar Malwa,Madhya Pradesh,2017,1,0.1956405192613601,33075.0
Agar Malwa,Madhya Pradesh,2017,2,0.2397886514663696,33075.0
Agar Malwa,Madhya Pradesh,2017,3,0.2471993863582611,33075.0
Agar Malwa,Madhya Pradesh,2017,4,0.3445460200309753,33075.0
Agar Malwa,Madhya Pradesh,2017,5,0.2872432470321655,33075.0
Agar Malwa,Madhya Pradesh,2017,6,0.2094174027442932,33075.0
Agar Malwa,Madhya Pradesh,2017,7,0.1552388221025467,33059.0
Agar Malwa,Madhya Pradesh,2017,8,0.2005765736103058,33075.0
Agar Malwa,Madhya Pradesh,2017,9,0.2913212478160858,33075.0
Agar Malwa,Madhya Pradesh,2017,10,0.3066551685333252,33075.0
Agar Malwa,Madhya Pradesh,2017,11,0.2696275115013122,33075.0
Agar Malwa,Madhya Pradesh,2017,12,0.2169699072837829,33075.0
Agar Malwa,Madhya Pradesh,2018,1,0.2322736084461212,33075.0
Agar Malwa,Madhya Pradesh,2018,2,0.2766748368740082,33075.0
Agar Malwa,Madhya Pradesh,2018,3,0.2635603845119476,33075.0
Agar Malwa,Madhya Pradesh,2018,4,0.3749481439590454,33075.0
Agar Malwa,Madhya Pradesh,2018,5,0.2959873080253601,33075.0
Agar Malwa,Madhya Pradesh,2018,6,0.2320335656404495,33075.0
Agar Malwa,Madhya Pradesh,2018,7,0.0,33075.0
Agar Malwa,Madhya Pradesh,2018,8,0.1401938647031784,33063.0
Agar Malwa,Madhya Pradesh,2018,9,0.234731063246727,33075.0
Agar Malwa,Madhya Pradesh,2018,10,0.2814941704273224,33075.0
Agar Malwa,Madhya Pradesh,2018,11,0.3016867637634277,33075.0
Agar Malwa,Madhya Pradesh,2018,12,0.2834896445274353,33075.0
Agar Malwa,Madhya Pradesh,2019,1,0.2545904815196991,33075.0
Agar Malwa,Madhya Pradesh,2019,2,0.259895384311676,33075.0
Agar Malwa,Madhya Pradesh,2019,3,0.309616357088089,33075.0
Agar Malwa,Madhya Pradesh,2019,4,0.3583204746246338,33075.0
Agar Malwa,Madhya Pradesh,2019,5,0.3833139538764953,33075.0
Agar Malwa,Madhya Pradesh,2019,6,0.2918279767036438,33075.0
Agar Malwa,Madhya Pradesh,2019,7,0.1737824529409408,33071.0
Agar Malwa,Madhya Pradesh,2019,8,0.1728082448244094,33074.0
Agar Malwa,Madhya Pradesh,2019,9,0.1903918385505676,33075.0
Agar Malwa,Madhya Pradesh,2019,10,0.2689505815505981,33075.0
Agar Malwa,Madhya Pradesh,2019,11,0.2189995348453521,33075.0
Agar Malwa,Madhya Pradesh,2019,12,0.2289986312389373,33075.0
Agar Malwa,Madhya Pradesh,2020,1,0.1998346000909805,33073.0
Agar Malwa,Madhya Pradesh,2020,2,0.3441562950611114,33075.0
Agar Malwa,Madhya Pradesh,2020,3,0.345589131116867,33075.0
Agar Malwa,Madhya Pradesh,2020,4,0.4260782897472381,33075.0
Agar Malwa,Madhya Pradesh,2020,5,0.3166143596172333,33075.0
Agar Malwa,Madhya Pradesh,2020,6,0.1643209606409073,33069.0
Agar Malwa,Madhya Pradesh,2020,7,0.2563245296478271,33073.0
Agar Malwa,Madhya Pradesh,2020,8,0.2060018181800842,33075.0
Agar Malwa,Madhya Pradesh,2020,9,0.0811395347118377,33075.0
Agar Malwa,Madhya Pradesh,2020,10,0.29167041182518,33075.0
Agar Malwa,Madhya Pradesh,2020,11,0.3749043047428131,33075.0
Agar Malwa,Madhya Pradesh,2020,12,0.3259168565273285,33075.0
Agar Malwa,Madhya Pradesh,2021,1,0.2584317326545715,33075.0
Agar Malwa,Madhya Pradesh,2021,2,0.3339903354644775,33075.0
Agar Malwa,Madhya Pradesh,2021,3,0.3400302231311798,33075.0
Agar Malwa,Madhya Pradesh,2021,4,0.4201106429100036,33075.0
Agar Malwa,Madhya Pradesh,2021,5,0.3500580489635467,33075.0
Agar Malwa,Madhya Pradesh,2021,6,0.2835761308670044,33075.0
Agar Malwa,Madhya Pradesh,2021,7,0.3057880699634552,33075.0
Agar Malwa,Madhya Pradesh,2021,8,0.288134217262268,33075.0
Agar Malwa,Madhya Pradesh,2021,9,0.272006630897522,33075.0
Agar Malwa,Madhya Pradesh,2021,10,0.3121212422847748,33075.0
Agar Malwa,Madhya Pradesh,2021,11,0.3440114855766296,33075.0
Agar Malwa,Madhya Pradesh,2021,12,0.3220250904560089,33075.0
Agar Malwa,Madhya Pradesh,2022,1,0.2905541956424713,33075.0
Agar Malwa,Madhya Pradesh,2022,2,0.3543102145195007,33075.0
Agar Malwa,Madhya Pradesh,2022,3,0.390417218208313,33075.0
Agar Malwa,Madhya Pradesh,2022,4,0.4433557391166687,33075.0
Agar Malwa,Madhya Pradesh,2022,5,0.4081390500068664,33075.0
Agar Malwa,Madhya Pradesh,2022,6,0.3660792112350464,33075.0
Agar Malwa,Madhya Pradesh,2022,7,0.0,33075.0
Agar Malwa,Madhya Pradesh,2022,8,0.1734053045511245,33075.0
Agar Malwa,Madhya Pradesh,2022,9,0.3311259150505066,33075.0
Agar Malwa,Madhya Pradesh,2022,10,0.3398070931434631,33075.0
Agar Malwa,Madhya Pradesh,2022,11,0.3521336019039154,33075.0
Agar Malwa,Madhya Pradesh,2022,12,0.3617263734340668,33075.0
Agar Malwa,Madhya Pradesh,2023,1,0.2925916910171509,33075.0
Agar Malwa,Madhya Pradesh,2023,2,0.3819195926189422,33075.0
Agar Malwa,Madhya Pradesh,2023,3,0.3482052981853485,33075.0
Agar Malwa,Madhya Pradesh,2023,4,0.4794182777404785,33075.0
Agar Malwa,Madhya Pradesh,2023,5,0.3643555343151092,33075.0
Agar Malwa,Madhya Pradesh,2023,6,0.3310666382312774,33075.0
Agar Malwa,Madhya Pradesh,2023,7,0.3194853961467743,33073.0
Agar Malwa,Madhya Pradesh,2023,8,0.3382627069950104,33075.0
Agar Malwa,Madhya Pradesh,2023,9,0.2825121581554413,33075.0
Agar Malwa,Madhya Pradesh,2023,10,0.3604033291339874,33075.0
Agar Malwa,Madhya Pradesh,2023,11,0.4129907786846161,33075.0
Agar Malwa,Madhya Pradesh,2023,12,0.3786742091178894,33075.0
Agar Malwa,Madhya Pradesh,2024,1,0.3245605528354645,33075.0
Agar Malwa,Madhya Pradesh,2024,2,0.3492943048477173,33075.0
Agar Malwa,Madhya Pradesh,2024,3,0.4501926004886627,33075.0
Agar Malwa,Madhya Pradesh,2024,4,0.454590767621994,33075.0
Agar Malwa,Madhya Pradesh,2024,5,0.4098306894302368,33075.0
Agar Malwa,Madhya Pradesh,2024,6,0.3682503402233124,33075.0
Agar Malwa,Madhya Pradesh,2024,7,0.2414188981056213,33075.0
Agar Malwa,Madhya Pradesh,2024,8,0.3298370242118835,33075.0
Agar Malwa,Madhya Pradesh,2024,9,0.3732465207576751,33075.0
Agar Malwa,Madhya Pradesh,2024,10,0.4213061034679413,33075.0
Agar Malwa,Madhya Pradesh,2024,11,0.4404241740703583,33075.0
Agar Malwa,Madhya Pradesh,2024,12,0.4107120037078857,33075.0
Agra,Uttar Pradesh,2015,1,0.8448621034622192,45962.0
Agra,Uttar Pradesh,2015,2,1.0975043773651123,45962.0
Agra,Uttar Pradesh,2015,3,1.1024417877197266,45962.0
Agra,Uttar Pradesh,2015,4,1.0372682809829712,45962.0
Agra,Uttar Pradesh,2015,5,0.6897063255310059,45962.0
Agra,Uttar Pradesh,2015,6,0.6308444142341614,45962.0
Agra,Uttar Pradesh,2015,7,0.528833270072937,45923.0
Agra,Uttar Pradesh,2015,8,0.559960663318634,45942.0
Agra,Uttar Pradesh,2015,9,0.5270284414291382,45962.0
Agra,Uttar Pradesh,2015,10,0.8674166202545166,45962.0
Agra,Uttar Pradesh,2015,11,1.4348227977752686,45962.0
Agra,Uttar Pradesh,2015,12,1.120901584625244,45962.0
Agra,Uttar Pradesh,2016,1,0.909218728542328,45946.0
Agra,Uttar Pradesh,2016,2,0.9249759316444396,45900.0
Agra,Uttar Pradesh,2016,3,0.9309187531471252,45962.0
Agra,Uttar Pradesh,2016,4,0.882110059261322,45962.0
Agra,Uttar Pradesh,2016,5,0.7334725856781006,45962.0
