DisNo.,Start Year,Start Month,Start Day,Location,Admin Units,districts_final_str
2016-0554-IND,2016,7,17.0,"Jorhat, Golaghat (Assam State)","[{""adm2_code"":17582,""adm2_name"":""Golaghat""},{""adm2_code"":70089,""adm2_name"":""Jorhat""}]",Golaghat;Jorhat
2017-0495-IND,2017,10,30.0,Chenai (Tamil Nadu),"[{""adm2_code"":70242,""adm2_name"":""Chennai""}]",Chennai
2018-0213-IND,2018,5,17.0,Tripura state,"[{""adm1_code"":1509,""adm1_name"":""Tripura""}]",Tripura
2018-0267-IND,2018,7,26.0,"Uttar Pradesh, Rajasthan","[{""adm1_code"":1506,""adm1_name"":""Rajasthan""},{""adm1_code"":70081,""adm1_name"":""Uttar Pradesh""}]",Rajasthan;Uttar Pradesh
2018-0345-IND,2018,8,2.0,"Biswanath, Udalguri, Golaghat, Sivassagar/Charaideo, Barpeta, Lakhimpu, Dhemaji, Darrang (Assam, West Bengal)","[{""adm2_code"":17576,""adm2_name"":""Barpeta""},{""adm2_code"":17578,""adm2_name"":""Darrang""},{""adm2_code"":17582,""adm2_name"":""Golaghat""},{""adm2_code"":17592,""adm2_name"":""Sibsagar""},{""adm2_code"":17593,""adm2_name"":""Sonitpur""},{""adm2_code"":70087,""adm2_name"":""Dhemaji""},{""adm2_code"":70091,""adm2_name"":""Lakhimpur""}]",Barpeta;Darrang;Golaghat;Sibsagar;Sonitpur;Dhemaji;Lakhimpur
2018-0370-IND,2018,9,1.0,Uttar Pradesh,"[{""adm1_code"":70081,""adm1_name"":""Uttar Pradesh""}]",Uttar Pradesh
2019-0288-IND,2019,6,28.0,"Mumbai, Pune, Ratnagiri Districts (Maharashtra State)","[{""adm2_code"":17776,""adm2_name"":""Pune""},{""adm2_code"":17778,""adm2_name"":""Ratnagiri""},{""adm2_code"":70184,""adm2_name"":""Mumbai city""}]",Pune;Ratnagiri;Mumbai city
2019-0574-IND,2019,11,29.0,"Coimbatore, Cuddalore, Nagapattinam, Thoothukkudi Districts (Tamil Nadu); Pudducherry","[{""adm1_code"":70080,""adm1_name"":""Puducherry""},{""adm2_code"":17866,""adm2_name"":""Thoothukudi""},{""adm2_code"":17867,""adm2_name"":""Coimbatore""},{""adm2_code"":70243,""adm2_name"":""Cuddalore""},{""adm2_code"":70247,""adm2_name"":""Nagapattinam""}]",Thoothukudi;Coimbatore;Cuddalore;Nagapattinam
2020-0198-IND,2020,5,10.0,Uttar Pradesh State,"[{""adm1_code"":70081,""adm1_name"":""Uttar Pradesh""}]",Uttar Pradesh
2020-0304-IND,2020,6,,"Assam, Bihar, Gujarat, Chhattisgarh, Kerala, Karnataka, Madhya Pradesh, Odisha, Uttar Pradesh, West Bengal, Arunachal Pradesh, Maharashtraa.","[{""adm1_code"":1487,""adm1_name"":""Assam""},{""adm1_code"":1491,""adm1_name"":""Gujarat""},{""adm1_code"":1494,""adm1_name"":""Karnataka""},{""adm1_code"":1495,""adm1_name"":""Kerala""},{""adm1_code"":1498,""adm1_name"":""Maharashtra""},{""adm1_code"":1504,""adm1_name"":""Orissa""},{""adm1_code"":1511,""adm1_name"":""West Bengal""},{""adm1_code"":70072,""adm1_name"":""Arunachal Pradesh""},{""adm1_code"":70073,""adm1_name"":""Bihar""},{""adm1_code"":70075,""adm1_name"":""Chhattisgarh""},{""adm1_code"":70079,""adm1_name"":""Madhya Pradesh""},{""adm1_code"":70081,""adm1_name"":""Uttar Pradesh""}]",Assam;Gujarat;Karnataka;Kerala;Maharashtra;Orissa;West Bengal;Arunachal Pradesh;Bihar;Chhattisgarh;Madhya Pradesh;Uttar Pradesh
2021-0585-IND,2021,9,13.0,"Rajkot, Jamnagar, Porbandar, Valsad, Junagadh districts (Gujarat state)","[{""adm2_code"":17641,""adm2_name"":""Jamnagar""},{""adm2_code"":17642,""adm2_name"":""Junagadh""},{""adm2_code"":17647,""adm2_name"":""Rajkot""},{""adm2_code"":17653,""adm2_name"":""Valsad""},{""adm2_code"":70130,""adm2_name"":""Porbandar""}]",Jamnagar;Junagadh;Rajkot;Valsad;Porbandar
2015-0253-IND,2015,6,23.0,"Mirik, Kalimpong, Darjeeling villages (Darjiling district, West Bengal province),","[{""adm2_code"":17948,""adm2_name"":""Darjiling""}]",Darjiling
2015-0504-IND,2015,11,8.0,"Chittoor, Cuddapah, Prakasam, Nellore districts (Andhra Pradesh province), Chennai, Cuddalore, Nagapattinam, Kancheepuram, Thiruvallur, Villupuram districts (Tamil Nadu province), Puducherry province","[{""adm1_code"":70080,""adm1_name"":""Puducherry""},{""adm2_code"":17549,""adm2_name"":""Chittoor""},{""adm2_code"":17550,""adm2_name"":""Cuddapah""},{""adm2_code"":17561,""adm2_name"":""Nellore""},{""adm2_code"":17563,""adm2_name"":""Prakasam""},{""adm2_code"":70242,""adm2_name"":""Chennai""},{""adm2_code"":70243,""adm2_name"":""Cuddalore""},{""adm2_code"":70244,""adm2_name"":""Kancheepuram""},{""adm2_code"":70247,""adm2_name"":""Nagapattinam""},{""adm2_code"":70251,""adm2_name"":""Thiruvallur""},{""adm2_code"":70255,""adm2_name"":""Villupuram""}]",Chittoor;Cuddapah;Nellore;Prakasam;Chennai;Cuddalore;Kancheepuram;Nagapattinam;Thiruvallur;Villupuram
2016-0139-IND,2016,4,22.0,"Arunachal Pradesh, Assam, Nagaland provinces","[{""adm1_code"":1487,""adm1_name"":""Assam""},{""adm1_code"":1503,""adm1_name"":""Nagaland""},{""adm1_code"":70072,""adm1_name"":""Arunachal Pradesh""}]",Assam;Nagaland;Arunachal Pradesh
2016-0267-IND,2016,7,28.0,"Lakhimpur, Golaghat, Jorhat, Barpeta, Bongaigaon, Goalpara, Dhubri, Marigaon, Darrang, Nalbari districts (Assam province)","[{""adm2_code"":17576,""adm2_name"":""Barpeta""},{""adm2_code"":17578,""adm2_name"":""Darrang""},{""adm2_code"":17579,""adm2_name"":""Dhuburi""},{""adm2_code"":17581,""adm2_name"":""Goalpara""},{""adm2_code"":17582,""adm2_name"":""Golaghat""},{""adm2_code"":17590,""adm2_name"":""Nalbari""},{""adm2_code"":70086,""adm2_name"":""Bongaigaon""},{""adm2_code"":70089,""adm2_name"":""Jorhat""},{""adm2_code"":70091,""adm2_name"":""Lakhimpur""},{""adm2_code"":70092,""adm2_name"":""Marigaon""}]",Barpeta;Darrang;Dhuburi;Goalpara;Golaghat;Nalbari;Bongaigaon;Jorhat;Lakhimpur;Marigaon
2015-0249-IND,2015,6,19.0,"Amreli, Rajkot, Surat districts (Gujarat province), Maharashtra province","[{""adm1_code"":1498,""adm1_name"":""Maharashtra""},{""adm2_code"":17636,""adm2_name"":""Amreli""},{""adm2_code"":17647,""adm2_name"":""Rajkot""},{""adm2_code"":17649,""adm2_name"":""Surat""}]",Amreli;Rajkot;Surat
2015-0317-IND,2015,7,15.0,"Kachchh, Patan, Banas Kantha districts (Gujarat province), Malda, Jalpaiguri districts (West Bengal province), Jorhat, Dhemaji, Lakhimpur, Dhuburi, Darrang, Goalpara, Karbi Anglong, Marigaon districts (Assam province), Manipur, Orissa, Rajasthan, Madhya Pradesh provinces","[{""adm1_code"":1500,""adm1_name"":""Manipur""},{""adm1_code"":1504,""adm1_name"":""Orissa""},{""adm1_code"":1506,""adm1_name"":""Rajasthan""},{""adm1_code"":70079,""adm1_name"":""Madhya Pradesh""},{""adm2_code"":17578,""adm2_name"":""Darrang""},{""adm2_code"":17579,""adm2_name"":""Dhuburi""},{""adm2_code"":17581,""adm2_name"":""Goalpara""},{""adm2_code"":17584,""adm2_name"":""Karbi Anglong""},{""adm2_code"":70087,""adm2_name"":""Dhemaji""},{""adm2_code"":70089,""adm2_name"":""Jorhat""},{""adm2_code"":70091,""adm2_name"":""Lakhimpur""},{""adm2_code"":70092,""adm2_name"":""Marigaon""},{""adm2_code"":17637,""adm2_name"":""Banas Kantha""},{""adm2_code"":17643,""adm2_name"":""Kachchh""},{""adm2_code"":70129,""adm2_name"":""Patan""},{""adm2_code"":17951,""adm2_name"":""Jalpaiguri""},{""adm2_code"":17953,""adm2_name"":""Maldah""}]",Darrang;Dhuburi;Goalpara;Karbi Anglong;Dhemaji;Jorhat;Lakhimpur;Marigaon;Banas Kantha;Kachchh;Patan;Jalpaiguri;Maldah
2015-0374-IND,2015,8,13.0,Assam province,"[{""adm1_code"":1487,""adm1_name"":""Assam""}]",Assam
2016-0239-IND,2016,6,25.0,"Chamoli, Pithoragahr districts (Uttarakhand province), Assam, Arunachal Pradesh provinces","[{""adm1_code"":1487,""adm1_name"":""Assam""},{""adm1_code"":70072,""adm1_name"":""Arunachal Pradesh""},{""adm2_code"":17932,""adm2_name"":""Pithoragarh""},{""adm2_code"":70282,""adm2_name"":""Chamoli""}]",Pithoragarh;Chamoli
2016-0271-IND,2016,7,15.0,"Biha, Uttar Pradeshr province (Varanasi, Allahabad, Ghazipur, Ballia, Banda, Jalaun, Ghaziabad, Patna, Bhagalpur, Vaishali, Buxar, Bhojpur, Sonepur, Saran, Begusarai, Samastipur, Lakhisarai, Khagaria, Munger, Nalanda, Katihar, Purnea, Katihar, Supual, Kisanganj, Madhepura, Gopalganj, Saharsa, Araria, East Champaran, Muzafferpur, Kishanganj, Purnea, Araria, Supaul, Bhagalpur, Darbhanga)","[{""adm1_code"":70073,""adm1_name"":""Bihar""},{""adm1_code"":70081,""adm1_name"":""Uttar Pradesh""}]",Bihar;Uttar Pradesh
